"","ccode1","ccode2","year","DR_at_1","DR_at_2","period","dipSym","dipSymNext","time.curr","region1","region2","sameregion","region"
"29748",91,325,1970,3,3,"3","sym","sym",15,1,2,"no",6
"29749",91,325,1975,3,3,"3","sym","sym",20,1,2,"no",6
"29750",91,325,1980,3,3,"3","sym","sym",25,1,2,"no",6
"29751",91,325,1985,3,3,"3","sym","sym",30,1,2,"no",6
"29752",91,325,1990,3,3,"3","sym","sym",35,1,2,"no",6
"29753",91,325,1995,3,3,"4","sym","sym",40,1,2,"no",6
"29754",91,325,2000,3,3,"4","sym","sym",45,1,2,"no",6
"29801",91,345,1955,9,0,"2","x","x",0,1,2,"no",6
"29802",91,345,1960,9,0,"2","x","x",5,1,2,"no",6
"29804",91,345,1970,3,0,"3","x","x",15,1,2,"no",6
"29805",91,345,1975,3,0,"3","x","x",20,1,2,"no",6
"29806",91,345,1980,3,0,"3","x","end",25,1,2,"no",6
"29832",91,350,1975,3,0,"3","x","sym",0,1,2,"no",6
"29833",91,350,1980,3,3,"3","sym","x",0,1,2,"no",6
"29835",91,350,1990,0,1,"3","x","x",0,1,2,"no",6
"29836",91,350,1995,0,1,"4","x","x",5,1,2,"no",6
"29837",91,350,2000,0,1,"4","x","x",10,1,2,"no",6
"29886",91,360,1980,0,3,"3","x","end",0,1,2,"no",6
"29963",91,375,1980,3,3,"3","sym","end",0,1,2,"no",6
"29977",91,380,1940,2,0,"1","x","x",0,1,2,"no",6
"29979",91,380,1955,9,0,"2","x","x",15,1,2,"no",6
"29980",91,380,1960,9,0,"2","x","x",20,1,2,"no",6
"29981",91,380,1965,9,0,"2","x","x",25,1,2,"no",6
"29983",91,380,1975,3,0,"3","x","sym",35,1,2,"no",6
"29984",91,380,1980,3,3,"3","sym","x",0,1,2,"no",6
"29988",91,380,2000,0,1,"4","x","x",0,1,2,"no",6
"29992",91,385,1920,2,0,"1","x","x",0,1,2,"no",6
"29993",91,385,1925,2,0,"1","x","x",5,1,2,"no",6
"29995",91,385,1935,2,0,"1","x","sym",15,1,2,"no",6
"29997",91,385,1950,9,9,"2","sym","x",0,1,2,"no",6
"29998",91,385,1955,9,0,"2","x","x",0,1,2,"no",6
"29999",91,385,1960,9,0,"2","x","x",5,1,2,"no",6
"30000",91,385,1965,9,0,"2","x","x",10,1,2,"no",6
"30001",91,385,1970,3,0,"3","x","x",15,1,2,"no",6
"30002",91,385,1975,3,0,"3","x","sym",20,1,2,"no",6
"30003",91,385,1980,3,3,"3","sym","end",0,1,2,"no",6
"30018",91,390,1950,9,0,"2","x","x",0,1,2,"no",6
"30019",91,390,1955,9,0,"2","x","x",5,1,2,"no",6
"30020",91,390,1960,9,0,"2","x","x",10,1,2,"no",6
"30021",91,390,1965,9,0,"2","x","x",15,1,2,"no",6
"30022",91,390,1970,3,0,"3","x","x",20,1,2,"no",6
"30023",91,390,1975,3,0,"3","x","sym",25,1,2,"no",6
"30024",91,390,1980,3,3,"3","sym","end",0,1,2,"no",6
"30564",91,640,1970,3,0,"3","x","x",0,1,4,"no",8
"30565",91,640,1975,3,0,"3","x","x",5,1,4,"no",8
"30566",91,640,1980,3,0,"3","x","end",10,1,4,"no",8
"30592",91,651,1975,3,0,"3","x","x",0,1,4,"no",8
"30593",91,651,1980,3,0,"3","x","x",5,1,4,"no",8
"30614",91,660,1970,3,0,"3","x","x",0,1,4,"no",8
"30615",91,660,1975,3,0,"3","x","x",5,1,4,"no",8
"30616",91,660,1980,3,0,"3","x","end",10,1,4,"no",8
"30636",91,666,1960,9,0,"2","x","x",0,1,4,"no",8
"30637",91,666,1965,9,0,"2","x","sym",5,1,4,"no",8
"30638",91,666,1970,3,3,"3","sym","x",0,1,4,"no",8
"30639",91,666,1975,3,0,"3","x","x",0,1,4,"no",8
"30640",91,666,1980,3,0,"3","x","asym",5,1,4,"no",8
"30641",91,666,1985,3,9,"3","asym","sym",0,1,4,"no",8
"30642",91,666,1990,3,3,"3","sym","sym",0,1,4,"no",8
"30643",91,666,1995,3,3,"4","sym","sym",5,1,4,"no",8
"30644",91,666,2000,3,3,"4","sym","x",10,1,4,"no",8
"30792",91,713,1970,3,0,"3","x","sym",0,1,5,"no",9
"30793",91,713,1975,3,3,"3","sym","sym",0,1,5,"no",9
"30794",91,713,1980,3,3,"3","sym","sym",5,1,5,"no",9
"30795",91,713,1985,3,3,"3","sym","sym",10,1,5,"no",9
"30796",91,713,1990,3,3,"3","sym","sym",15,1,5,"no",9
"30797",91,713,1995,3,3,"4","sym","sym",20,1,5,"no",9
"30798",91,713,2000,3,3,"4","sym","sym",25,1,5,"no",9
"30817",91,732,1965,9,0,"2","x","sym",0,1,5,"no",9
"30819",91,732,1975,3,3,"3","sym","sym",0,1,5,"no",9
"30820",91,732,1980,3,3,"3","sym","x",5,1,5,"no",9
"30823",91,732,1995,0,3,"4","x","x",0,1,5,"no",9
"30824",91,732,2000,0,3,"4","x","x",5,1,5,"no",9
"30835",91,740,1955,9,0,"2","x","x",0,1,5,"no",9
"30837",91,740,1965,9,0,"2","x","x",10,1,5,"no",9
"30838",91,740,1970,0,3,"3","x","sym",15,1,5,"no",9
"30839",91,740,1975,3,3,"3","sym","sym",0,1,5,"no",9
"30840",91,740,1980,3,3,"3","sym","sym",5,1,5,"no",9
"30841",91,740,1985,3,3,"3","sym","sym",10,1,5,"no",9
"30842",91,740,1990,3,3,"3","sym","asym",15,1,5,"no",9
"30843",91,740,1995,3,1,"4","asym","sym",0,1,5,"no",9
"30844",91,740,2000,3,3,"4","sym","sym",0,1,5,"no",9
"31023",91,840,1980,3,0,"3","x","end",0,1,5,"no",9
"31375",92,93,1909,2,1,"1","asym","asym",0,1,1,"yes",1
"31376",92,93,1914,2,1,"1","asym","x",5,1,1,"yes",1
"31377",92,93,1920,0,1,"1","x","sym",0,1,1,"yes",1
"31378",92,93,1925,1,1,"1","sym","asym",0,1,1,"yes",1
"31379",92,93,1930,2,1,"1","asym","x",0,1,1,"yes",1
"31380",92,93,1935,1,0,"1","x","x",0,1,1,"yes",1
"31381",92,93,1940,2,0,"1","x","sym",5,1,1,"yes",1
"31382",92,93,1950,9,9,"2","sym","x",0,1,1,"yes",1
"31384",92,93,1960,0,9,"2","x","sym",0,1,1,"yes",1
"31385",92,93,1965,9,9,"2","sym","sym",0,1,1,"yes",1
"31386",92,93,1970,3,3,"3","sym","sym",5,1,1,"yes",1
"31387",92,93,1975,3,3,"3","sym","sym",10,1,1,"yes",1
"31388",92,93,1980,3,3,"3","sym","sym",15,1,1,"yes",1
"31389",92,93,1985,1,1,"3","sym","sym",20,1,1,"yes",1
"31390",92,93,1990,1,1,"3","sym","asym",25,1,1,"yes",1
"31391",92,93,1995,3,1,"4","asym","asym",0,1,1,"yes",1
"31392",92,93,2000,3,1,"4","asym","sym",5,1,1,"yes",1
"31394",92,94,1920,0,1,"1","x","asym",0,1,1,"yes",1
"31395",92,94,1925,1,2,"1","asym","sym",0,1,1,"yes",1
"31397",92,94,1935,2,2,"1","sym","sym",0,1,1,"yes",1
"31398",92,94,1940,2,2,"1","sym","sym",5,1,1,"yes",1
"31399",92,94,1950,9,9,"2","sym","x",15,1,1,"yes",1
"31400",92,94,1955,0,9,"2","x","sym",0,1,1,"yes",1
"31401",92,94,1960,9,9,"2","sym","sym",0,1,1,"yes",1
"31402",92,94,1965,9,9,"2","sym","sym",5,1,1,"yes",1
"31403",92,94,1970,3,3,"3","sym","sym",10,1,1,"yes",1
"31404",92,94,1975,3,3,"3","sym","sym",15,1,1,"yes",1
"31405",92,94,1980,3,3,"3","sym","sym",20,1,1,"yes",1
"31406",92,94,1985,3,3,"3","sym","sym",25,1,1,"yes",1
"31407",92,94,1990,3,3,"3","sym","sym",30,1,1,"yes",1
"31408",92,94,1995,3,3,"4","sym","sym",35,1,1,"yes",1
"31409",92,94,2000,3,3,"4","sym","sym",40,1,1,"yes",1
"31415",92,95,1940,2,0,"1","x","sym",0,1,1,"yes",1
"31416",92,95,1950,9,9,"2","sym","x",0,1,1,"yes",1
"31417",92,95,1955,0,9,"2","x","x",0,1,1,"yes",1
"31418",92,95,1960,0,9,"2","x","sym",5,1,1,"yes",1
"31419",92,95,1965,9,9,"2","sym","sym",0,1,1,"yes",1
"31420",92,95,1970,3,3,"3","sym","sym",5,1,1,"yes",1
"31421",92,95,1975,3,3,"3","sym","sym",10,1,1,"yes",1
"31422",92,95,1980,3,3,"3","sym","sym",15,1,1,"yes",1
"31423",92,95,1985,3,3,"3","sym","sym",20,1,1,"yes",1
"31424",92,95,1990,3,3,"3","sym","sym",25,1,1,"yes",1
"31425",92,95,1995,3,3,"4","sym","sym",30,1,1,"yes",1
"31426",92,95,2000,3,3,"4","sym","sym",35,1,1,"yes",1
"31429",92,100,1884,1,0,"1","x","x",0,1,1,"yes",1
"31436",92,100,1920,2,0,"1","x","x",36,1,1,"yes",1
"31437",92,100,1925,2,0,"1","x","x",41,1,1,"yes",1
"31438",92,100,1930,2,0,"1","x","x",46,1,1,"yes",1
"31439",92,100,1935,0,2,"1","x","x",51,1,1,"yes",1
"31440",92,100,1940,2,0,"1","x","x",56,1,1,"yes",1
"31441",92,100,1950,9,0,"2","x","x",66,1,1,"yes",1
"31442",92,100,1955,0,9,"2","x","x",71,1,1,"yes",1
"31443",92,100,1960,0,9,"2","x","sym",76,1,1,"yes",1
"31444",92,100,1965,9,9,"2","sym","sym",0,1,1,"yes",1
"31445",92,100,1970,3,3,"3","sym","sym",5,1,1,"yes",1
"31446",92,100,1975,3,3,"3","sym","sym",10,1,1,"yes",1
"31447",92,100,1980,3,3,"3","sym","asym",15,1,1,"yes",1
"31448",92,100,1985,3,1,"3","asym","sym",0,1,1,"yes",1
"31449",92,100,1990,3,3,"3","sym","sym",0,1,1,"yes",1
"31450",92,100,1995,3,3,"4","sym","sym",5,1,1,"yes",1
"31451",92,100,2000,3,3,"4","sym","sym",10,1,1,"yes",1
"31455",92,101,1889,0,1,"1","x","x",0,1,1,"yes",1
"31456",92,101,1894,0,2,"1","x","x",5,1,1,"yes",1
"31465",92,101,1940,2,0,"1","x","sym",51,1,1,"yes",1
"31466",92,101,1950,9,9,"2","sym","sym",0,1,1,"yes",1
"31467",92,101,1955,9,9,"2","sym","x",5,1,1,"yes",1
"31468",92,101,1960,9,0,"2","x","sym",0,1,1,"yes",1
"31469",92,101,1965,9,9,"2","sym","sym",0,1,1,"yes",1
"31470",92,101,1970,3,3,"3","sym","sym",5,1,1,"yes",1
"31471",92,101,1975,3,3,"3","sym","sym",10,1,1,"yes",1
"31472",92,101,1980,3,3,"3","sym","sym",15,1,1,"yes",1
"31473",92,101,1985,3,3,"3","sym","sym",20,1,1,"yes",1
"31474",92,101,1990,3,3,"3","sym","sym",25,1,1,"yes",1
"31475",92,101,1995,3,3,"4","sym","sym",30,1,1,"yes",1
"31476",92,101,2000,3,3,"4","sym","asym",35,1,1,"yes",1
"31506",92,130,1950,9,9,"2","sym","sym",0,1,1,"yes",1
"31507",92,130,1955,9,9,"2","sym","sym",5,1,1,"yes",1
"31508",92,130,1960,9,9,"2","sym","sym",10,1,1,"yes",1
"31509",92,130,1965,9,9,"2","sym","sym",15,1,1,"yes",1
"31510",92,130,1970,3,3,"3","sym","x",20,1,1,"yes",1
"31511",92,130,1975,3,0,"3","x","sym",0,1,1,"yes",1
"31512",92,130,1980,3,3,"3","sym","sym",0,1,1,"yes",1
"31513",92,130,1985,3,3,"3","sym","sym",5,1,1,"yes",1
"31514",92,130,1990,3,3,"3","sym","sym",10,1,1,"yes",1
"31515",92,130,1995,3,3,"4","sym","sym",15,1,1,"yes",1
"31516",92,130,2000,3,3,"4","sym","sym",20,1,1,"yes",1
"31518",92,135,1879,0,2,"1","x","x",0,1,1,"yes",1
"31519",92,135,1884,0,2,"1","x","x",5,1,1,"yes",1
"31525",92,135,1914,1,0,"1","x","x",35,1,1,"yes",1
"31526",92,135,1920,2,0,"1","x","x",41,1,1,"yes",1
"31527",92,135,1925,2,0,"1","x","x",46,1,1,"yes",1
"31530",92,135,1940,2,0,"1","x","sym",61,1,1,"yes",1
"31531",92,135,1950,9,9,"2","sym","sym",0,1,1,"yes",1
"31532",92,135,1955,9,9,"2","sym","sym",5,1,1,"yes",1
"31533",92,135,1960,9,9,"2","sym","x",10,1,1,"yes",1
"31534",92,135,1965,0,9,"2","x","x",0,1,1,"yes",1
"31535",92,135,1970,0,3,"3","x","sym",5,1,1,"yes",1
"31536",92,135,1975,3,3,"3","sym","sym",0,1,1,"yes",1
"31537",92,135,1980,3,3,"3","sym","asym",5,1,1,"yes",1
"31538",92,135,1985,1,3,"3","asym","sym",0,1,1,"yes",1
"31539",92,135,1990,3,3,"3","sym","sym",0,1,1,"yes",1
"31540",92,135,1995,3,3,"4","sym","sym",5,1,1,"yes",1
"31541",92,135,2000,3,3,"4","sym","sym",10,1,1,"yes",1
"31549",92,140,1909,2,0,"1","x","x",0,1,1,"yes",1
"31550",92,140,1914,2,0,"1","x","x",5,1,1,"yes",1
"31553",92,140,1930,2,0,"1","x","x",21,1,1,"yes",1
"31554",92,140,1935,2,0,"1","x","x",26,1,1,"yes",1
"31555",92,140,1940,2,0,"1","x","sym",31,1,1,"yes",1
"31557",92,140,1955,9,9,"2","sym","sym",0,1,1,"yes",1
"31558",92,140,1960,9,9,"2","sym","sym",5,1,1,"yes",1
"31559",92,140,1965,9,9,"2","sym","sym",10,1,1,"yes",1
"31560",92,140,1970,3,3,"3","sym","sym",15,1,1,"yes",1
"31561",92,140,1975,3,3,"3","sym","sym",20,1,1,"yes",1
"31562",92,140,1980,3,3,"3","sym","sym",25,1,1,"yes",1
"31563",92,140,1985,3,3,"3","sym","sym",30,1,1,"yes",1
"31564",92,140,1990,3,3,"3","sym","sym",35,1,1,"yes",1
"31565",92,140,1995,3,3,"4","sym","sym",40,1,1,"yes",1
"31566",92,140,2000,3,3,"4","sym","sym",45,1,1,"yes",1
"31584",92,145,1965,0,9,"2","x","x",0,1,1,"yes",1
"31586",92,145,1975,3,0,"3","x","x",10,1,1,"yes",1
"31587",92,145,1980,3,0,"3","x","end",15,1,1,"yes",1
"31608",92,150,1960,9,0,"2","x","sym",0,1,1,"yes",1
"31609",92,150,1965,9,9,"2","sym","x",0,1,1,"yes",1
"31610",92,150,1970,3,0,"3","x","sym",0,1,1,"yes",1
"31611",92,150,1975,3,3,"3","sym","sym",0,1,1,"yes",1
"31612",92,150,1980,3,3,"3","sym","sym",5,1,1,"yes",1
"31613",92,150,1985,3,3,"3","sym","sym",10,1,1,"yes",1
"31614",92,150,1990,3,3,"3","sym","sym",15,1,1,"yes",1
"31615",92,150,1995,3,3,"4","sym","sym",20,1,1,"yes",1
"31616",92,150,2000,3,3,"4","sym","end",25,1,1,"yes",1
"31623",92,155,1904,2,0,"1","x","x",0,1,1,"yes",1
"31624",92,155,1909,2,0,"1","x","x",5,1,1,"yes",1
"31625",92,155,1914,2,0,"1","x","x",10,1,1,"yes",1
"31626",92,155,1920,2,0,"1","x","x",16,1,1,"yes",1
"31627",92,155,1925,1,0,"1","x","x",21,1,1,"yes",1
"31628",92,155,1930,2,0,"1","x","x",26,1,1,"yes",1
"31629",92,155,1935,1,0,"1","x","x",31,1,1,"yes",1
"31630",92,155,1940,2,0,"1","x","sym",36,1,1,"yes",1
"31631",92,155,1950,9,9,"2","sym","sym",0,1,1,"yes",1
"31632",92,155,1955,9,9,"2","sym","sym",5,1,1,"yes",1
"31633",92,155,1960,9,9,"2","sym","sym",10,1,1,"yes",1
"31634",92,155,1965,9,9,"2","sym","sym",15,1,1,"yes",1
"31635",92,155,1970,3,3,"3","sym","sym",20,1,1,"yes",1
"31636",92,155,1975,3,3,"3","sym","sym",25,1,1,"yes",1
"31637",92,155,1980,3,3,"3","sym","sym",30,1,1,"yes",1
"31638",92,155,1985,3,3,"3","sym","sym",35,1,1,"yes",1
"31639",92,155,1990,3,3,"3","sym","sym",40,1,1,"yes",1
"31640",92,155,1995,3,3,"4","sym","sym",45,1,1,"yes",1
"31641",92,155,2000,3,3,"4","sym","sym",50,1,1,"yes",1
"31644",92,160,1884,0,1,"1","x","x",0,1,1,"yes",1
"31652",92,160,1925,2,0,"1","x","x",41,1,1,"yes",1
"31653",92,160,1930,2,0,"1","x","x",46,1,1,"yes",1
"31654",92,160,1935,2,0,"1","x","sym",51,1,1,"yes",1
"31655",92,160,1940,2,2,"1","sym","x",0,1,1,"yes",1
"31656",92,160,1950,9,0,"2","x","sym",0,1,1,"yes",1
"31657",92,160,1955,9,9,"2","sym","sym",0,1,1,"yes",1
"31658",92,160,1960,9,9,"2","sym","x",5,1,1,"yes",1
"31659",92,160,1965,0,9,"2","x","sym",0,1,1,"yes",1
"31660",92,160,1970,3,3,"3","sym","sym",0,1,1,"yes",1
"31661",92,160,1975,3,3,"3","sym","sym",5,1,1,"yes",1
"31662",92,160,1980,3,3,"3","sym","sym",10,1,1,"yes",1
"31663",92,160,1985,3,3,"3","sym","sym",15,1,1,"yes",1
"31664",92,160,1990,3,3,"3","sym","sym",20,1,1,"yes",1
"31665",92,160,1995,3,3,"4","sym","sym",25,1,1,"yes",1
"31666",92,160,2000,3,3,"4","sym","sym",30,1,1,"yes",1
"31677",92,165,1930,2,0,"1","x","x",0,1,1,"yes",1
"31678",92,165,1935,0,2,"1","x","asym",5,1,1,"yes",1
"31679",92,165,1940,2,1,"1","asym","x",0,1,1,"yes",1
"31680",92,165,1950,9,0,"2","x","x",0,1,1,"yes",1
"31682",92,165,1960,9,0,"2","x","sym",10,1,1,"yes",1
"31683",92,165,1965,9,9,"2","sym","sym",0,1,1,"yes",1
"31684",92,165,1970,3,3,"3","sym","x",5,1,1,"yes",1
"31685",92,165,1975,3,0,"3","x","sym",0,1,1,"yes",1
"31686",92,165,1980,3,3,"3","sym","sym",0,1,1,"yes",1
"31687",92,165,1985,3,3,"3","sym","sym",5,1,1,"yes",1
"31688",92,165,1990,3,3,"3","sym","sym",10,1,1,"yes",1
"31689",92,165,1995,3,3,"4","sym","x",15,1,1,"yes",1
"31690",92,165,2000,3,0,"4","x","sym",0,1,1,"yes",1
"31692",92,200,1879,2,2,"1","sym","sym",0,1,2,"no",6
"31693",92,200,1884,2,2,"1","sym","x",5,1,2,"no",6
"31694",92,200,1889,2,0,"1","x","sym",0,1,2,"no",6
"31695",92,200,1894,2,2,"1","sym","x",0,1,2,"no",6
"31696",92,200,1899,0,2,"1","x","sym",0,1,2,"no",6
"31697",92,200,1904,2,2,"1","sym","asym",0,1,2,"no",6
"31698",92,200,1909,2,1,"1","asym","asym",0,1,2,"no",6
"31699",92,200,1914,2,1,"1","asym","asym",5,1,2,"no",6
"31700",92,200,1920,2,1,"1","asym","sym",11,1,2,"no",6
"31701",92,200,1925,2,2,"1","sym","sym",0,1,2,"no",6
"31702",92,200,1930,2,2,"1","sym","sym",5,1,2,"no",6
"31703",92,200,1935,2,2,"1","sym","sym",10,1,2,"no",6
"31704",92,200,1940,2,2,"1","sym","sym",15,1,2,"no",6
"31705",92,200,1950,9,9,"2","sym","sym",25,1,2,"no",6
"31706",92,200,1955,9,9,"2","sym","sym",30,1,2,"no",6
"31707",92,200,1960,9,9,"2","sym","sym",35,1,2,"no",6
"31708",92,200,1965,9,9,"2","sym","sym",40,1,2,"no",6
"31709",92,200,1970,3,3,"3","sym","sym",45,1,2,"no",6
"31710",92,200,1975,3,3,"3","sym","sym",50,1,2,"no",6
"31711",92,200,1980,3,3,"3","sym","asym",55,1,2,"no",6
"31712",92,200,1985,1,3,"3","asym","sym",0,1,2,"no",6
"31713",92,200,1990,3,3,"3","sym","sym",0,1,2,"no",6
"31714",92,200,1995,3,3,"4","sym","sym",5,1,2,"no",6
"31715",92,200,2000,3,3,"4","sym","x",10,1,2,"no",6
"31746",92,210,1950,9,0,"2","x","x",0,1,2,"no",6
"31747",92,210,1955,9,0,"2","x","x",5,1,2,"no",6
"31748",92,210,1960,9,0,"2","x","x",10,1,2,"no",6
"31749",92,210,1965,9,0,"2","x","x",15,1,2,"no",6
"31750",92,210,1970,0,3,"3","x","sym",20,1,2,"no",6
"31751",92,210,1975,3,3,"3","sym","x",0,1,2,"no",6
"31752",92,210,1980,0,3,"3","x","x",0,1,2,"no",6
"31754",92,210,1990,0,3,"3","x","x",10,1,2,"no",6
"31755",92,210,1995,0,3,"4","x","end",15,1,2,"no",6
"31758",92,211,1879,0,2,"1","x","x",0,1,2,"no",6
"31759",92,211,1884,0,2,"1","x","asym",5,1,2,"no",6
"31763",92,211,1904,1,2,"1","asym","x",0,1,2,"no",6
"31764",92,211,1909,1,0,"1","x","x",0,1,2,"no",6
"31765",92,211,1914,2,0,"1","x","sym",5,1,2,"no",6
"31767",92,211,1925,2,2,"1","sym","sym",0,1,2,"no",6
"31768",92,211,1930,2,2,"1","sym","asym",5,1,2,"no",6
"31769",92,211,1935,1,2,"1","asym","sym",0,1,2,"no",6
"31770",92,211,1940,2,2,"1","sym","x",0,1,2,"no",6
"31771",92,211,1950,9,0,"2","x","x",0,1,2,"no",6
"31775",92,211,1970,0,1,"3","x","asym",20,1,2,"no",6
"31776",92,211,1975,3,1,"3","asym","sym",0,1,2,"no",6
"31777",92,211,1980,3,3,"3","sym","x",0,1,2,"no",6
"31780",92,211,1995,0,3,"4","x","x",0,1,2,"no",6
"31781",92,211,2000,0,3,"4","x","x",5,1,2,"no",6
"31800",92,220,1879,1,2,"1","asym","asym",0,1,2,"no",6
"31801",92,220,1884,1,2,"1","asym","asym",5,1,2,"no",6
"31802",92,220,1889,1,2,"1","asym","asym",10,1,2,"no",6
"31803",92,220,1894,1,2,"1","asym","asym",15,1,2,"no",6
"31805",92,220,1904,1,2,"1","asym","x",25,1,2,"no",6
"31806",92,220,1909,1,0,"1","x","asym",0,1,2,"no",6
"31807",92,220,1914,1,2,"1","asym","sym",0,1,2,"no",6
"31808",92,220,1920,2,2,"1","sym","asym",0,1,2,"no",6
"31809",92,220,1925,1,2,"1","asym","sym",0,1,2,"no",6
"31810",92,220,1930,2,2,"1","sym","sym",0,1,2,"no",6
"31811",92,220,1935,2,2,"1","sym","sym",5,1,2,"no",6
"31812",92,220,1940,2,2,"1","sym","x",10,1,2,"no",6
"31813",92,220,1950,0,9,"2","x","sym",0,1,2,"no",6
"31814",92,220,1955,9,9,"2","sym","sym",0,1,2,"no",6
"31815",92,220,1960,9,9,"2","sym","sym",5,1,2,"no",6
"31816",92,220,1965,9,9,"2","sym","asym",10,1,2,"no",6
"31817",92,220,1970,3,1,"3","asym","sym",0,1,2,"no",6
"31818",92,220,1975,3,3,"3","sym","asym",0,1,2,"no",6
"31819",92,220,1980,3,1,"3","asym","asym",0,1,2,"no",6
"31820",92,220,1985,3,1,"3","asym","sym",5,1,2,"no",6
"31821",92,220,1990,3,3,"3","sym","sym",0,1,2,"no",6
"31822",92,220,1995,3,3,"4","sym","sym",5,1,2,"no",6
"31823",92,220,2000,3,3,"4","sym","sym",10,1,2,"no",6
"31834",92,225,1889,0,2,"1","x","x",0,1,2,"no",6
"31835",92,225,1894,0,2,"1","x","x",5,1,2,"no",6
"31846",92,225,1955,0,9,"2","x","x",66,1,2,"no",6
"31847",92,225,1960,0,9,"2","x","x",71,1,2,"no",6
"31848",92,225,1965,0,9,"2","x","sym",76,1,2,"no",6
"31849",92,225,1970,3,3,"3","sym","sym",0,1,2,"no",6
"31850",92,225,1975,3,3,"3","sym","sym",5,1,2,"no",6
"31851",92,225,1980,3,3,"3","sym","end",10,1,2,"no",6
"31857",92,230,1879,0,2,"1","x","x",0,1,2,"no",6
"31858",92,230,1884,0,2,"1","x","sym",5,1,2,"no",6
"31859",92,230,1889,2,2,"1","sym","sym",0,1,2,"no",6
"31860",92,230,1894,2,2,"1","sym","sym",5,1,2,"no",6
"31862",92,230,1904,2,2,"1","sym","asym",15,1,2,"no",6
"31863",92,230,1909,2,1,"1","asym","x",0,1,2,"no",6
"31864",92,230,1914,1,0,"1","x","asym",0,1,2,"no",6
"31865",92,230,1920,1,2,"1","asym","sym",0,1,2,"no",6
"31866",92,230,1925,1,1,"1","sym","sym",0,1,2,"no",6
"31867",92,230,1930,2,2,"1","sym","sym",5,1,2,"no",6
"31868",92,230,1935,2,2,"1","sym","sym",10,1,2,"no",6
"31869",92,230,1940,2,2,"1","sym","sym",15,1,2,"no",6
"31870",92,230,1950,9,9,"2","sym","sym",25,1,2,"no",6
"31871",92,230,1955,9,9,"2","sym","sym",30,1,2,"no",6
"31872",92,230,1960,9,9,"2","sym","sym",35,1,2,"no",6
"31873",92,230,1965,9,9,"2","sym","sym",40,1,2,"no",6
"31874",92,230,1970,3,3,"3","sym","sym",45,1,2,"no",6
"31875",92,230,1975,3,3,"3","sym","sym",50,1,2,"no",6
"31876",92,230,1980,3,3,"3","sym","sym",55,1,2,"no",6
"31877",92,230,1985,3,3,"3","sym","sym",60,1,2,"no",6
"31878",92,230,1990,3,3,"3","sym","sym",65,1,2,"no",6
"31879",92,230,1995,3,3,"4","sym","sym",70,1,2,"no",6
"31880",92,230,2000,3,3,"4","sym","sym",75,1,2,"no",6
"31885",92,235,1879,0,2,"1","x","x",0,1,2,"no",6
"31892",92,235,1914,1,0,"1","x","x",35,1,2,"no",6
"31893",92,235,1920,1,0,"1","x","x",41,1,2,"no",6
"31894",92,235,1925,2,0,"1","x","x",46,1,2,"no",6
"31897",92,235,1940,0,2,"1","x","x",61,1,2,"no",6
"31898",92,235,1950,0,9,"2","x","x",71,1,2,"no",6
"31900",92,235,1960,9,0,"2","x","x",81,1,2,"no",6
"31901",92,235,1965,9,0,"2","x","x",86,1,2,"no",6
"31902",92,235,1970,0,1,"3","x","x",91,1,2,"no",6
"31903",92,235,1975,0,3,"3","x","x",96,1,2,"no",6
"31904",92,235,1980,0,1,"3","x","end",101,1,2,"no",6
"31910",92,255,1879,1,0,"1","x","asym",0,1,2,"no",6
"31911",92,255,1884,1,2,"1","asym","x",0,1,2,"no",6
"31912",92,255,1889,2,0,"1","x","sym",0,1,2,"no",6
"31913",92,255,1894,2,2,"1","sym","x",0,1,2,"no",6
"31914",92,255,1899,0,2,"1","x","sym",0,1,2,"no",6
"31915",92,255,1904,2,2,"1","sym","sym",0,1,2,"no",6
"31916",92,255,1909,2,2,"1","sym","sym",5,1,2,"no",6
"31917",92,255,1914,2,2,"1","sym","x",10,1,2,"no",6
"31918",92,255,1920,2,0,"1","x","sym",0,1,2,"no",6
"31919",92,255,1925,2,2,"1","sym","sym",0,1,2,"no",6
"31920",92,255,1930,2,2,"1","sym","x",5,1,2,"no",6
"31921",92,255,1935,2,0,"1","x","x",0,1,2,"no",6
"31922",92,255,1940,2,0,"1","x","sym",5,1,2,"no",6
"31923",92,255,1990,3,3,"3","sym","sym",0,1,2,"no",6
"31924",92,255,1995,3,3,"4","sym","sym",5,1,2,"no",6
"31925",92,255,2000,3,3,"4","sym","sym",10,1,2,"no",6
"31927",92,260,1955,9,0,"2","x","x",0,1,2,"no",6
"31928",92,260,1960,9,0,"2","x","x",5,1,2,"no",6
"31929",92,260,1965,9,0,"2","x","sym",10,1,2,"no",6
"31930",92,260,1970,3,3,"3","sym","sym",0,1,2,"no",6
"31931",92,260,1975,3,3,"3","sym","sym",5,1,2,"no",6
"31932",92,260,1980,3,3,"3","sym","sym",10,1,2,"no",6
"31933",92,260,1985,3,3,"3","sym","end",15,1,2,"no",6
"31947",92,290,1950,9,0,"2","x","x",0,1,2,"no",6
"31948",92,290,1955,9,0,"2","x","x",5,1,2,"no",6
"31949",92,290,1960,9,0,"2","x","x",10,1,2,"no",6
"31950",92,290,1965,9,0,"2","x","end",15,1,2,"no",6
"31971",92,305,1955,9,0,"2","x","x",0,1,2,"no",6
"31972",92,305,1960,9,0,"2","x","sym",5,1,2,"no",6
